Headline,Summary,Date,Label
Rs 891-crore smart plan to unclog Mumbai’s roads gets state nod,"The state-of-the-art system will decide signal timings based on density of traffic, identify vehicles violating traffic rules and also create green corridors during emergencies.","Aug 21, 2019",NON CRIME
Maharashtra to launch emergency medical toll-free number for farm animals,The state animal husbandry department has identified 349 vulnerable areas in which 80 mobile care centres and 80 call centres will be established.,"Aug 21, 2019",NON CRIME
"KMAT Result 2019: Karnataka Management Aptitude Test Result declared, here’s link to check",Karnataka Private Post Graduate Colleges Association (KPPGCA) has declared the result of Karnataka Management Aptitude Test (KMAT) 2019 on its official website.,"Aug 21, 2019",NON CRIME
Gurugramwale: Such a long journey,Tracing the arch of a woman shopkeeper’s working life,"Aug 21, 2019",NON CRIME
"Yamuna water level rises in Delhi, expected to touch 207m by afternoon","The water level in the river had last breached the 207m mark during the 2013 floods, when it touched 207.32m.","Aug 21, 2019",NON CRIME
SC gives nod to three new medical colleges in Jharkhand,"The three new medical colleges in Jharkhand will be set up in Palamu, Hazaribagh and Dumka from this academic session.","Aug 21, 2019",NON CRIME
"Arrest warrant issued for MLA Anant Singh, anticipatory bail rejected","Mokama MLA Anant Singh has been absconding, after a FIR lodged against him with the Barh police station under the newly amendment Unlawful Activities (Prevention) Act (UAPA) and explosive act.","Aug 21, 2019",CRIME
Registration of flats for Amrapali home buyers begins in Noida,"There are around 10,000 homebuyers of the Amrapali group, staying in Silicon City in Sector 76, Princely Estate in Sector 76, the Zodiac project in Sector 119, Platinum in Sector 119 and Eden in Sector 50. The residents will need to execute flat registries so that the title deed can be transferred into their names from that of the builder’s.","Aug 21, 2019",NON CRIME
"Yogi Adityanath inducts 18 new faces in cabinet, axes five ministers","CM Yogi Adityanath expands UP cabinet: Six cabinet ministers, six ministers of state with Independent charge and 11 ministers of state take over.","Aug 21, 2019",NON CRIME
Trinamool Congress faces flak in rural Bengal outreach campaign,"About 220 Trinamool Congress leaders have visited villages and the TMC helpline has received about 600,000 complaints","Aug 19, 2019",NON CRIME
3 IAF personnel killed as truck falls off hill in Rajasthan’s Barmer,"Three personnel of Indian Air Force were killed and three seriously injured on Wednesday when the truck they were travelling in fell off a hill in Rajasthan’s Barmer district, officials said.","Aug 21, 2019",CRIME
